,wordId,word,topicId,dov,dovDelta,composition,dod,dodDelta,numDocs,score
1172,W10675,synergy,T88,0.0026262712590012,30.286737826452395,0.4286944558076731,0.0220812887788431,0.1691216488611168,4,32.446512
958,W8032,appearance,T36,0.0018498632993664,15.832855179796113,0.3170453138461735,0.0269593375593309,0.2060118927635558,5,18.029353
488,W4687,innovator,T4,0.0023323661658859,9.62870420544538,0.3897777784827277,0.0467940483031325,0.6600907075186455,8,12.274738
973,W8173,caster,T53,0.0018305017285997,8.49217407699288,0.373039909203293,0.0163676678089094,0.0951219512195122,3,10.579774
841,W7132,speculative,T81,0.0017139243385598,7.62464964069369,0.349058478056668,0.0212457165893973,0.2426829268292682,4,9.858775
541,W5064,twenty,T79,0.0028545646725458,7.710092924479196,0.5678567137422104,0.0350104318831971,0.058621702012012,7,9.754165
83,W1457,nugget,T65,0.004764142146601,5.515772868753432,0.7287682606897325,0.0767073722297603,1.6272727272727276,12,9.120531
750,W6288,childhood,T85,0.0020690986290433,6.213982812136735,0.4582500562096563,0.066462925512611,0.2802800901760097,14,8.471883
574,W5253,notebook,T79,0.0066376559019052,5.442071456014767,1.1540148968512178,0.0814446960261798,0.731095369336881,14,8.143886
555,W5155,flaunt,T96,0.00045544164915296137,6.033461300492584,0.0926045172976948,0.0163676678089094,0.0951219512195122,3,8.123843
645,W5647,stone,T20,0.0072976669617514,5.617679640195429,1.2809043731578953,0.0782503390479608,0.4915384075390034,14,8.078679
846,W7177,poly,T81,0.0031962188223069,5.770943917047982,0.6578577535559478,0.0253167114107759,0.0625174537177714,5,7.820567
111,W1717,ddos,T42,0.0080200221752536,5.591897467173399,1.3854087595073366,0.0648864735680248,0.1074917691325673,12,7.670361
556,W5159,statically,T71,0.0018248659172634,5.261676577541954,0.3222938552767146,0.0384489565877526,0.3721275952428946,7,7.62169
1149,W10333,peeve,T4,0.0003200860241895331,5.440855929050168,0.06502852185594,0.0163676678089094,0.0951219512195122,3,7.531511
388,W4016,safer,T42,0.0031139570810218,5.470834766162992,0.6826734090679146,0.0364214377287927,0.0402985074626865,8,7.494171
985,W8285,disrupt,T54,0.0045617158165987,4.874450984393299,0.9043622573762716,0.0465835313909605,0.061349862438033,9,6.915366
874,W7303,anxious,T79,0.003865035960431,4.512862851188769,0.9116717284382608,0.0386056386752798,0.2805970149253731,9,6.772952
135,W2115,expansion,T82,0.0075706000373405,4.033070974419611,1.3527596964284294,0.0762715087263175,0.2306053886985151,14,6.232425
588,W5326,assist,T7,0.005686447669863,4.052124219453418,1.0011553527199302,0.0427852225262551,0.1264821700832473,8,6.158485
253,W2981,inequality,T90,0.0050284591563643,3.9447982131996486,1.0428589430698068,0.0618501478492471,0.1226033159329813,13,6.040497
1092,W9662,sibling,T10,0.0020862298708112,3.924645071043992,0.3660898578149756,0.027050232878222,0.0994807675657859,5,6.014125
1129,W10141,recycle,T57,0.0023341765733541,3.8864198335336657,0.4962185773086845,0.020347767311397,0.1136766780890949,4,5.990079
752,W6300,separation,T99,0.0060034492246727,3.8042483515107217,1.2621427616076044,0.0567903084309771,0.2072784449337383,12,5.983722
331,W3486,mall,T4,0.0026828861759914,3.652409948707074,0.5530352968767921,0.0535623006385937,0.1921655747333346,11,5.825077
737,W6202,absent,T42,0.0008472121377225928,3.665537555677033,0.2085956192559115,0.0217872913873293,0.0402985074626865,5,5.697398
922,W7648,bookmark,T28,0.0030024890525691,3.61870665592966,0.498121721353571,0.0278783902281185,0.0460810992407445,5,5.653478
567,W5230,markdown,T68,0.0012997044187681,3.4991574061113564,0.2252674700764822,0.0154697185309092,0.0398961902842169,3,5.532998
1195,W11148,concerted,T90,0.0007711493836657717,3.3550142157580782,0.1639418256577698,0.020347767311397,0.1136766780890949,4,5.461969
1250,W13127,unsupported,T57,0.0043240727884333,3.1107538020690697,0.6666937721128471,0.0238148102462892,0.2983471074380166,4,5.397393
1121,W9962,misconfigure,T36,0.0052509547346463,3.206060615040364,0.8997012767694318,0.0220812887788431,0.1691216488611168,4,5.361163
795,W6695,duplicate,T9,0.0076198572774442,3.217438238398945,1.487412157360313,0.0516359559696811,0.0935008453284589,10,5.283447
41,W1050,quad,T62,0.0023114306247952,3.005076837396888,0.3775311430746483,0.0411015307239862,0.25527195457905,7,5.247687
975,W8184,licens,T45,0.0048702724016797,3.116930696138438,1.0345722845287646,0.0570917206620402,0.1489359708880177,11,5.241592
918,W7636,kidney,T4,0.0012762762053172,3.068714839514122,0.2223984987233946,0.0221721840977342,0.0748872716308266,4,5.136301
949,W7913,footage,T18,0.0027995886486204,3.018437785592869,0.5463992216252544,0.0376419026286434,0.0893107030860613,7,5.093412
334,W3505,prescient,T22,0.0037462005432261,2.9245635236946246,0.8483519212709312,0.033276910415751,0.0954875892659259,7,5.002719
674,W5839,pin,T7,0.0066966920891362,2.8700706821965727,1.4089652338783545,0.0725327129185596,0.0960793926099052,15,4.933067
661,W5754,deepen,T86,0.0005418515233299229,2.75586258247294,0.083728196992574,0.0172032399983553,0.1322314049586777,3,4.883442
236,W2861,atom,T18,0.0089261279537768,2.699810843912143,1.7880032939078112,0.0498887459509971,0.1744786504441665,10,4.843816
1117,W9939,squarely,T20,0.0023917528471515,2.475204468725696,0.398397057728343,0.0269593375593309,0.2060118927635558,5,4.670895
273,W3170,offend,T55,0.0022523851298852,2.538586877956883,0.5161201215878395,0.0438685801661725,0.1181575659965308,9,4.64016
1064,W9250,prominent,T56,0.0086705307729997,2.5807349771994823,1.6527361823775446,0.0770572512505861,0.0848228364374076,15,4.630057
1102,W9786,numeral,T58,0.0011762402726922,2.547634882491436,0.1865078456367697,0.0221721840977342,0.0748872716308266,4,4.615577
494,W4735,beast,T9,0.0033841541468796,2.218979272680767,0.5941260478043902,0.0519447830402936,0.3715188977061432,9,4.57314
326,W3454,nasty,T5,0.0028445649359892,2.3761730422245684,0.630933932235517,0.0372570099182386,0.1396586074532263,8,4.499383
849,W7205,sourcing,T4,0.0019993968063583,2.030474130020378,0.4110487991412344,0.044738011213836,0.4825791171134851,9,4.497511
45,W1078,wrangle,T62,0.0013501271103781,2.018678954171014,0.2255871937967635,0.0353044292747109,0.4829079318685749,6,4.491706
1212,W11425,incompetence,T96,0.0018950870640564,2.329165001246853,0.4725366535012735,0.0169092426068415,0.0402985074626865,4,4.359681
786,W6593,discourage,T15,0.0066629158698743,2.157052780216742,1.1456074863557455,0.0542748415546768,0.2156883953066566,10,4.34864
656,W5692,podcasting,T53,0.0086770172104848,1.2428176549252747,1.722009289910096,0.0505140092723241,1.1280487804878048,10,4.341048
1135,W10218,mist,T28,0.00017350215237133982,2.1958319943694877,0.0269373681406296,0.0172032399983553,0.1322314049586777,3,4.323975
600,W5420,skin,T40,0.0041100499670938,1.8982864935593424,0.7203786948479471,0.0813948663610026,0.403748535425406,15,4.275782
66,W1334,timeframe,T79,0.003804456995043,1.564427400845129,0.6283453911315457,0.0467940483031325,0.6600907075186455,8,4.208095
80,W1442,crime,T47,0.0028373751083009,2.0433494212499155,0.6173666800994456,0.0599422505835682,0.1754042727302812,13,4.19607
457,W4432,contractor,T57,0.005319993731778,1.6926958253671354,0.9124238353064568,0.0401824780551987,0.5013530538197944,7,4.176082
188,W2421,sas,T25,0.0013797547962807,1.8831854990232064,0.2792407818653417,0.0408488070302395,0.2426829268292682,8,4.112908
456,W4430,headless,T71,0.0018829548644909,1.9162665799387395,0.3115612121405154,0.0336618031261559,0.2020267372403587,6,4.10756
389,W4022,popularity,T42,0.0061354057355737,2.038439923256905,1.2198395292963786,0.0578139449698937,0.0812840559109216,12,4.092338
930,W7692,melt,T72,0.0015416882629577,1.9261149532866144,0.2823176608004306,0.0220812887788431,0.1691216488611168,4,4.087341
1009,W8528,misrepresent,T99,0.0004107387747549924,1.9854643871063824,0.0823504709386721,0.0163676678089094,0.0951219512195122,3,4.075948
