,wordId,word,topicId,dov,dovDelta,composition,dod,dodDelta,numDocs,score
5,W5,credible,T8,0.0013798204902682,0.284434519484464,0.1406786522243548,0.0217737772425487,-0.0406459157512566,4,1.47
14,W14,improbable,T5,0.0030116218440843,2.9053700470414694,0.1468950777753927,0.0112704464097604,-0.0580865852991078,2,1.45
17,W17,meaningless,T96,0.0050118285401296,0.1784767824176246,0.4200739240571747,0.0306072725471308,-0.0514809450127912,5,1.51
18,W18,boil,T20,0.0057300677596536,-0.192454259855441,0.3264388743528078,0.0411796245515862,-0.1779006557754257,6,1.54
19,W19,dissuade,T5,0.0015048095333677,-0.0575519556011232,0.1264967784508956,0.0159293225715869,-0.1290432926495539,3,1.45
24,W24,locality,T18,0.0024322912225448,0.1712162445583002,0.2241163646810903,0.0229039621673772,0.0071920161991605,4,1.48
27,W27,hurricane,T84,0.0039883514056473,0.3923563886888462,0.2363339952759499,0.0244935869056281,0.2257402441026763,4,1.49
29,W29,decentralized,T10,0.0103973893326998,0.1445882148772475,0.8244622615929755,0.0376373057272279,0.0321561692109534,6,1.54
71,W71,fleet,T54,0.0077006722037664,1.5586548264564717,0.7984832626198028,0.0504283557035722,0.0921465802805507,9,1.56
94,W94,reconstruct,T84,0.0046989240257046,0.0170932945752438,0.5757468836352588,0.0468996644665741,-0.0066642140178369,8,1.55
108,W108,inventory,T54,0.0082090782072688,0.0614507049010779,0.95046654531147,0.0632474499703243,0.0959394121094776,11,1.6
119,W119,umbrella,T38,0.0080792426877982,-0.0039981790151013,0.9367846795376896,0.03682519706855,-0.0690447872837828,7,1.53
136,W136,atmosphere,T9,0.0039441998480896,0.185956423889741,0.4408007961679056,0.0366009591797149,0.1535895075931892,6,1.52
142,W142,tabulate,T57,0.0067120751780941,-0.1110221108635363,0.7960305191836783,0.0247503736200412,-0.0419972260748959,4,1.5
191,W191,dispute,T57,0.006843433218358,0.2384138032590218,0.848871761280996,0.0465241508625899,0.043115733885848,8,1.55
206,W206,proactively,T36,0.0045977727459611,0.0449218310842827,0.658327903848739,0.0431435082559818,0.041431698098654,8,1.53
215,W215,forensic,T70,0.0153853744448924,-0.1946316583669211,0.7462346485593474,0.0249120498377913,-0.0232052462034053,4,1.53
228,W228,extrapolate,T5,0.0026559391780513,-0.1443565623930666,0.1796893735074534,0.0190675951668295,-0.1116026231017027,3,1.47
268,W268,cyber,T42,0.0106861333318752,0.4178909120250144,0.94173844420733,0.0850124983762282,0.0852465877768643,14,1.67
281,W281,abrupt,T20,0.0015334494337539,0.006970590804283,0.2191917694744915,0.0104479372484815,-0.1195227673004486,2,1.44
310,W310,skilled,T84,0.0081938622291722,0.1279371018170258,0.8374135386835866,0.0788566525222338,0.1795731792932044,14,1.64
325,W325,correspondence,T96,0.0097745670835352,2.690201971895631,0.6074767172281136,0.022959355751684,0.1187081684974867,4,1.5
369,W369,mooc,T56,0.0038203699138974,-0.0072643750427166,0.3757627872021413,0.0228485685830704,-0.0785653126328881,4,1.48
370,W370,hastily,T59,0.0041644786663486,0.4358355006975246,0.2434812929291473,0.0112704464097604,-0.0580865852991078,2,1.45
420,W420,resilient,T54,0.0123368915641369,0.7126931240800495,0.8029048992771433,0.0606206895688731,0.2009517371009968,10,1.61
426,W426,corruption,T56,0.002530780061928,-0.1922510674537486,0.3735447483671676,0.0221368465904051,-0.1195227673004486,4,1.47
497,W497,bitcoin,T14,0.0026969184379677,-0.120251389645444,0.3543230000794227,0.0306502218753098,-0.120998613037448,5,1.5
