,wordId,word,topicId,dov,dovDelta,composition,dod,dodDelta,numDocs,score
0,W27,hurricane,T84,0.0039883514056473,0.3923563886888462,0.2363339952759499,0.0244935869056281,0.2257402441026763,4,1.49
1,W29,decentralized,T10,0.0103973893326998,0.1445882148772475,0.8244622615929755,0.0376373057272279,0.0321561692109534,6,1.54
2,W136,atmosphere,T9,0.0039441998480896,0.185956423889741,0.4408007961679056,0.0366009591797149,0.1535895075931892,6,1.52
3,W188,statewide,T35,0.026764344947411,0.6188790711932779,1.5369927705384554,0.0450445241772653,0.2730447156696403,7,1.62
4,W278,tally,T57,0.012811426897602,0.8075268116427263,1.1273941449777207,0.0276182319135105,0.0477514611470406,5,1.52
5,W325,correspondence,T96,0.0097745670835352,2.690201971895631,0.6074767172281136,0.022959355751684,0.1187081684974867,4,1.5
6,W571,telecommunications,T45,0.002199042502358,3.3872420338727305,0.1322394866121972,0.0236710777443493,0.0428693747342237,4,1.48
7,W661,discriminate,T15,0.0094416619880498,0.529386976588762,0.6111724103486138,0.0361271026632449,0.1571221794011067,6,1.54
8,W729,probabilistic,T18,0.0027804328507274,1.1331008249411398,0.4116982202462501,0.0409319783708709,0.0740682542351136,7,1.53
9,W784,caveat,T71,0.0092719058214234,-0.078072934110884,0.8996286650615439,0.0446449824833199,0.1535895075931892,7,1.56
10,W889,pot,T23,0.0084330704710254,0.6084786851463202,0.6342042595085702,0.0295709259996179,0.1722242063000815,5,1.51
11,W1050,quad,T62,0.0061557018087497,5.61268907269837,0.3775311430746483,0.0442774086002932,0.1931686686854285,7,1.55
12,W1074,typing,T55,0.0082018617699404,0.8903407878683236,0.5094137723267446,0.0419715573342068,0.1767660409340616,7,1.55
13,W1078,wrangle,T62,0.0037902180885043,3.785395187945851,0.2255871937967635,0.0369496118245238,0.3897530030281427,6,1.52
14,W1105,jar,T19,0.0080650543385162,0.1159808930527612,0.8209633108359479,0.0341744085771376,0.0313777123660956,6,1.52
15,W1182,pub,T69,0.0012515820186164,-0.1561831805884869,0.0799268964102543,0.0183004795898574,0.1535895075931892,3,1.46
16,W1184,tribute,T19,0.0013764895111613,-0.038331557393016,0.1118504126237824,0.0178820166576942,0.0838268294017842,3,1.46
17,W1185,discard,T15,0.0138567532798272,0.8759294551594453,1.0362606700882275,0.0408413724093783,0.071801706650203,7,1.56
18,W1194,fable,T47,0.0007669429311763719,0.0954211463057519,0.100973712218959,0.0171149010807222,0.0303107915991894,3,1.46
19,W1213,chocolate,T69,0.0055842588215621,0.7811578370262814,0.4073081048122952,0.0295155324153111,0.0723351670336561,5,1.51
20,W1247,widow,T69,0.0031380370395665,0.0564901362137114,0.2254680998438613,0.0178820166576942,0.0838268294017842,3,1.47
21,W1285,chef,T25,0.0019816965475427,0.5287263079317304,0.2232673307698217,0.038066169161992,0.1103539489748084,7,1.51
22,W1293,semi-colon,T64,0.0028889735680092,0.1914412481100739,0.3157498020340377,0.0171149010807222,0.0303107915991894,3,1.46
23,W1295,rant,T59,0.0017010613646393,0.8076940937006842,0.0922721882274796,0.0178820166576942,0.0838268294017842,3,1.46
24,W1317,panic,T59,0.0039818693114388,0.7361989605155248,0.4652517793551293,0.031036135981895,0.0382581896489522,6,1.5
25,W1318,taekwondo,T79,0.0091925955386329,0.0959569822638123,0.8656934223478467,0.0275628383292037,0.013539033098564,5,1.51
26,W1323,bulky,T53,0.006045020317098,-0.0977517982573554,0.4819051791607037,0.0183004795898574,0.1535895075931892,3,1.48
27,W1336,selfish,T10,0.0075073714836486,-0.1457989911144084,0.6326931382360665,0.0357784500184361,0.1535895075931892,6,1.53
28,W1338,elevated,T79,0.0094509598579372,-0.1337550999349498,0.6688535614694674,0.0307565045087531,0.0651921306948918,5,1.52
29,W1365,repetition,T22,0.0030929888294438,0.0196394089704923,0.3420668872511834,0.0295155324153111,0.0723351670336561,5,1.5
30,W1385,scoop,T64,0.0091751990510808,0.7855704819754941,0.5804190725445371,0.0310542681044255,0.0186836785672885,5,1.52
31,W1444,uphill,T45,0.0011958372490802,0.0220576555257319,0.1584150896489746,0.0171149010807222,0.0303107915991894,3,1.46
32,W1504,korean,T64,0.0054564341357312,0.1981914239457191,0.7411492263037011,0.0357230564341293,0.0651921306948918,6,1.52
