"wordId","score"
W0,0.21
W1,8.41
W2,1.13
W3,0.04
W4,0.00
W5,0.00
W6,0.14
W7,0.18
W8,0.01
W9,0.64
W10,0.01
W11,0.29
W12,0.02
W13,0.03
W14,0.00
W15,0.52
W16,0.07
W17,0.00
W18,0.00
W19,0.00
W20,0.04
W21,0.00
W22,0.18
W23,0.13
W24,0.00
W25,0.35
W26,0.78
W27,0.00
W28,0.03
W29,0.00
W30,0.16
W31,0.01
W32,0.42
W33,0.01
W34,0.22
W35,0.01
W36,0.00
W37,0.03
W38,0.00
W39,0.19
W40,0.19
W41,0.06
W42,0.00
W43,0.00
W44,0.04
W45,0.10
W46,0.00
W47,0.00
W48,0.02
W49,0.00
W50,0.26
W51,0.33
W52,0.22
W53,1.08
W54,0.00
W55,0.06
W56,0.01
W57,0.00
W58,0.01
W59,0.82
W60,1.01
W61,0.70
W62,0.22
W63,0.11
W64,0.04
W65,0.00
W66,0.12
W67,0.00
W68,0.00
W69,0.20
W70,0.35
W71,0.00
W72,0.00
W73,0.09
W74,0.28
W75,0.01
W76,0.05
W77,0.00
W78,0.05
W79,0.03
W80,0.01
W81,0.03
W82,0.01
W83,0.11
W84,0.03
W85,0.47
W86,0.59
W87,0.00
W88,0.00
W89,0.01
W90,1.14
W91,0.69
W92,0.22
W93,0.42
W94,0.00
W95,0.27
W96,0.02
W97,0.04
W98,0.26
W99,0.04
W100,0.40
W101,0.13
W102,0.08
W103,0.09
W104,0.16
W105,0.01
W106,0.01
W107,0.25
W108,0.00
W109,0.00
W110,0.19
W111,0.13
W112,0.06
W113,0.12
W114,0.08
W115,0.03
W116,0.06
W117,0.11
W118,0.24
W119,0.00
W120,0.99
W121,0.01
W122,0.00
W123,0.65
W124,0.09
W125,0.19
W126,0.10
W127,0.72
W128,0.00
W129,0.50
W130,0.25
W131,0.00
W132,0.15
W133,0.08
W134,0.01
W135,1.06
W136,0.00
W137,0.19
W138,0.48
W139,0.01
W140,0.12
W141,0.84
W142,0.00
W143,0.20
W144,0.00
W145,0.36
W146,0.03
W147,1.03
W148,0.05
W149,1.02
W150,0.15
W151,0.04
W152,0.00
W153,0.49
W154,0.12
W155,0.73
W156,0.65
W157,0.77
W158,0.12
W159,0.00
W160,0.01
W161,0.16
W162,0.00
W163,0.02
W164,0.73
W165,0.16
W166,0.87
W167,0.02
W168,0.01
W169,0.00
W170,0.00
W171,0.08
W172,0.15
W173,0.00
W174,0.04
W175,0.00
W176,0.04
W177,0.16
W178,0.59
W179,0.01
W180,0.78
W181,0.05
W182,0.01
W183,0.03
W184,0.03
W185,0.92
W186,0.12
W187,0.13
W188,0.00
W189,0.15
W190,0.76
W191,0.00
W192,0.01
W193,0.43
W194,0.44
W195,0.05
W196,0.63
W197,0.00
W198,0.01
W199,0.13
W200,0.10
W201,0.00
W202,0.00
W203,0.54
W204,0.18
W205,0.36
W206,0.00
W207,0.08
W208,0.32
W209,0.50
W210,0.01
W211,0.04
W212,0.01
W213,0.12
W214,0.02
W215,0.00
W216,0.08
W217,0.01
W218,0.00
W219,0.80
W220,0.00
W221,0.00
W222,0.87
W223,0.06
W224,0.02
W225,0.17
W226,0.69
W227,0.81
W228,0.00
W229,0.08
W230,0.01
W231,0.51
W232,0.00
W233,0.00
W234,0.00
W235,0.00
W236,0.03
W237,0.00
W238,0.05
W239,0.67
W240,0.58
W241,0.00
W242,0.45
W243,0.40
W244,0.37
W245,0.06
W246,0.56
W247,0.05
W248,0.24
W249,0.16
W250,0.01
W251,0.00
W252,0.24
W253,0.46
W254,0.83
W255,0.43
W256,0.02
W257,0.00
W258,0.01
W259,0.01
W260,0.34
W261,0.06
W262,0.72
W263,0.18
W264,0.83
W265,0.04
W266,0.14
W267,0.05
W268,0.00
W269,0.07
W270,0.90
W271,0.62
W272,0.00
W273,0.54
W274,0.71
W275,0.05
W276,0.44
W277,0.09
W278,0.00
W279,0.66
W280,0.25
W281,0.00
W282,0.08
W283,0.11
W284,0.67
W285,0.13
W286,0.02
W287,0.04
W288,0.22
W289,0.17
W290,0.76
W291,0.64
W292,0.05
W293,0.16
W294,0.58
W295,0.02
W296,0.24
W297,0.13
W298,0.32
W299,0.47
W300,0.22
W301,0.01
W302,0.82
W303,0.02
W304,0.25
W305,0.25
W306,0.57
W307,0.04
W308,0.24
W309,0.45
W310,0.00
W311,0.50
W312,0.36
W313,0.20
W314,0.00
W315,0.06
W316,0.72
W317,0.25
W318,0.55
W319,0.00
W320,0.66
W321,0.31
W322,0.02
W323,0.50
W324,0.60
W325,0.00
W326,0.01
W327,0.01
W328,0.01
W329,0.00
W330,0.08
W331,0.44
W332,0.20
W333,0.37
W334,0.09
W335,0.15
W336,0.80
W337,0.11
W338,0.08
W339,0.86
W340,0.75
W341,0.04
W342,0.02
W343,0.78
W344,0.35
W345,1.12
W346,0.05
W347,0.12
W348,0.01
W349,0.31
W350,0.63
W351,0.95
W352,0.03
W353,0.01
W354,0.02
W355,0.88
W356,0.05
W357,0.09
W358,0.18
W359,0.01
W360,0.01
W361,0.69
W362,0.02
W363,0.00
W364,0.39
W365,0.97
W366,0.92
W367,0.83
W368,1.37
W369,0.00
W370,0.00
W371,0.56
W372,0.66
W373,0.00
W374,0.64
W375,0.73
W376,0.45
W377,0.03
W378,0.52
W379,0.26
W380,0.85
W381,0.85
W382,0.27
W383,0.87
W384,0.37
W385,0.24
W386,0.00
W387,0.81
W388,0.00
W389,0.43
W390,1.23
W391,0.11
W392,0.01
W393,0.21
W394,0.15
W395,0.42
W396,0.01
W397,0.31
W398,0.01
W399,0.08
W400,0.12
W401,0.33
W402,0.03
W403,0.22
W404,0.07
W405,0.21
W406,0.03
W407,0.07
W408,0.33
W409,0.00
W410,0.01
W411,0.07
W412,0.00
W413,0.38
W414,0.68
W415,0.08
W416,0.31
W417,0.78
W418,0.11
W419,0.04
W420,0.00
W421,0.61
W422,0.60
W423,0.00
W424,0.00
W425,0.00
W426,0.00
W427,0.34
W428,0.08
W429,0.61
W430,0.24
W431,0.03
W432,0.00
W433,0.54
W434,0.00
W435,0.01
W436,0.00
W437,0.00
W438,0.30
W439,0.04
W440,0.49
W441,0.52
W442,0.56
W443,0.01
W444,0.00
W445,0.11
W446,0.59
W447,0.59
W448,0.10
W449,0.68
W450,0.01
W451,0.17
W452,0.09
W453,0.14
W454,0.00
W455,0.05
W456,0.02
W457,0.52
W458,0.90
W459,0.01
W460,0.81
W461,0.27
W462,0.44
W463,0.11
W464,0.59
W465,0.04
W466,0.31
W467,0.23
W468,0.01
W469,0.58
W470,0.01
W471,0.33
W472,0.15
W473,0.29
W474,0.01
W475,0.96
W476,0.31
W477,0.00
W478,0.01
W479,0.41
W480,0.33
W481,0.01
W482,0.00
W483,0.47
W484,0.88
W485,0.07
W486,0.01
W487,0.26
W488,0.01
W489,0.10
W490,0.80
W491,0.04
W492,0.01
W493,0.60
W494,0.18
W495,0.94
W496,0.00
W497,0.00
W498,0.00
W499,0.63
W500,0.00
W501,0.00
W502,0.51
W503,0.00
W504,0.00
W505,0.36
W506,0.67
W507,0.10
W508,0.00
W509,0.00
W510,0.02
W511,0.00
W512,0.00
W513,0.00
W514,0.08
W515,0.00
W516,0.00
W517,0.00
W518,0.05
W519,0.00
W520,0.00
W521,0.00
W522,0.50
W523,0.14
W524,0.64
W525,0.15
W526,0.01
W527,0.34
W528,0.77
W529,0.03
W530,0.81
W531,0.01
W532,0.34
W533,0.28
W534,0.03
W535,0.01
W536,0.82
W537,0.17
W538,0.40
W539,0.00
W540,0.01
W541,0.01
W542,0.00
W543,0.02
W544,0.04
W545,0.02
W546,0.00
W547,0.31
W548,0.00
W549,0.00
W550,0.00
W551,0.00
W552,0.03
